Gen,Genesis
Ex,Exodus
Lev,Leviticus
Num,Numbers
Deut,Deuteronomy
Josh,Joshua
1 Samuel,First Samuel
1Sa,First Samuel
2 Samuel,Second Samuel
2Sam,Second Samuel
1 Kings,First Kings
1Ki,First Kings
1 Chronicles,First Chronicles
1Ch,First Chronicles
2 Chronicles,Second Chronicles
2Ch,Second Chronicles
Neh,Nehemiah
Ps,Psalms
Pro,Proverbs
Ecc,Ecclesiastes
Song,Song of Solomon
Sos,Song of Solomon
Song of Songs,Song of Solomon
Is,Isaiah
Isa,Isaiah
Jer,Jeremiah
Lam,Lamentations
Eze,Ezekiel
Dan,Daniel
Hos,Hosea
Oba,Obadiah
Nah,Nahum
Hab,Habakkuk
Zeph,Zephaniah
Hag,Haggai
Zech,Zechariah
Mal,Malachi
Mt,Matthew
Mat,Matthew
Matt,Matthew
Mk,Mark
Lk,Luke
Jn,John
Rom,Romans
1 Corinthians,First Corinthians
1Co,First Corinthians
2 Corinthians,Second Corinthians
2Co,Second Corinthians
Gal,Galatians
Eph,Ephesians
Phil,Philippians
Col,Colossians
1 Thessalonians,First Thessalonians
1Th,First Thessalonians
2 Thessalonians,Second Thessalonians
2Th,Second Thessalonians
1 Timothy,First Timothy
1Ti,First Timothy
2 Timothy,Second Timothy
2Ti,Second Timothy
Heb,Hebrews
Jas,James
1 Peter,First Peter
1Pe,First Peter
2 Peter,Second Peter
2Pe,Second Peter
1 John,First John
1Jo,First John
2 John,Second John
2Jo,Second John
3 John,Third John
3Jo,Third John
Rev,Revelation
